,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
4597,Omega-3-acid ethyl esters,"['Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.']",1115,"'Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.'","', 'Take with food",0
4598,Omega-3-acid ethyl esters,"['Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.']",1115,"'Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.'",Take with food to reduce gastrointestinal disturbance,0
4600,Dexchlorpheniramine maleate,['Avoid alcohol. Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate.'],1116,'Avoid alcohol. Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate.','Avoid alcohol,0
4601,Dexchlorpheniramine maleate,['Avoid alcohol. Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate.'],1116,'Avoid alcohol. Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate.',Alcohol may have additive CNS depressant effects with dexchlorpheniramine maleate,0
4603,Choline C-11,"['Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.']",1117,"'Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.'",'Drink plenty of fluids,0
4604,Choline C-11,"['Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.']",1117,"'Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.'",Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding,0
4605,Choline C-11,"['Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.']",1117,"'Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.'","', 'Take on an empty stomach",0
4606,Choline C-11,"['Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.']",1117,"'Drink plenty of fluids. Consuming lots of fluid before the PET/CT will reduce excess exposure to radiation by increasing urinary voiding.', 'Take on an empty stomach. Avoid eating for at leats 6 hours before the administration of Choline C-11.'",Avoid eating for at leats 6 hours before the administration of Choline C-11,0
4608,Insulin degludec,['Avoid alcohol. Alcohol may impair blood glucose control.'],1118,'Avoid alcohol. Alcohol may impair blood glucose control.','Avoid alcohol,0
4609,Insulin degludec,['Avoid alcohol. Alcohol may impair blood glucose control.'],1118,'Avoid alcohol. Alcohol may impair blood glucose control.',Alcohol may impair blood glucose control,0
4611,Omega-3-carboxylic acids,['Take with or without food. Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA).'],1119,'Take with or without food. Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA).','Take with or without food,0
4612,Omega-3-carboxylic acids,['Take with or without food. Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA).'],1119,'Take with or without food. Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA).',Taking omega-3-carboxylic acids with a high-fat meal may increase the absorption of eicosapentaenoic acid (EPA),0
4614,Ixazomib,"[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.']",1120,"""Avoid St John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.'","""Avoid St John's Wort",0
4615,Ixazomib,"[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.']",1120,"""Avoid St John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.'","This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib",0
4616,Ixazomib,"[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.']",1120,"""Avoid St John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.'",""", 'Take on an empty stomach",0
4617,Ixazomib,"[""Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.']",1120,"""Avoid St John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of ixazomib."", 'Take on an empty stomach. Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food.'","Food increases the absorption of ixazomib, take ixazomib dose at least one hour before and at least two hours after food",0
4619,Pancrelipase amylase,['Take with food.'],1121,'Take with food.','Take with food,0
4621,Pancrelipase protease,['Take with food.'],1122,'Take with food.','Take with food,0
4623,Hydrogen fluoride,['Take separate from meals. Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.'],1123,'Take separate from meals. Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.','Take separate from meals,0
4624,Hydrogen fluoride,['Take separate from meals. Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.'],1123,'Take separate from meals. Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.',Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel,0
4626,Calcium citrate,['Take with or without food.'],1124,'Take with or without food.','Take with or without food,0
